,Start Time,End Time,Duration (seconds),Label,Confidence (Mean Method),Confidence (Median Method)
47,2014-09-02 10:12:51,2014-09-02 10:12:52,1.0,Solar Wind,0.10305926507811791,0.10305926507811791
48,2014-09-02 10:12:52,2014-09-02 10:13:01,9.0,Solar Wind,0.2750019721351801,0.3043757481498308
49,2014-09-02 10:13:01,2014-09-02 10:13:02,1.0,Solar Wind,0.09272230289570338,0.09272230289570338
50,2014-09-02 10:13:02,2014-09-02 10:13:04,2.0,Solar Wind,0.07793561560244033,0.08301158301158307
51,2014-09-02 10:13:04,2014-09-02 10:13:12,8.0,Magnetosheath,0.3683233171345299,0.48702290076335886
52,2014-09-02 10:13:12,2014-09-02 10:17:17,245.0,Solar Wind,0.8119482988525732,0.8224184691809049
53,2014-09-02 10:17:17,2014-09-02 10:17:28,11.0,Magnetosheath,0.590070341595536,0.6348600727073188
54,2014-09-02 10:17:28,2014-09-02 10:17:35,7.0,Solar Wind,0.5981618041743886,0.7268743611758453
55,2014-09-02 10:17:35,2014-09-02 10:18:01,26.0,Magnetosheath,0.751650932196457,0.8084848484848485
56,2014-09-02 10:18:01,2014-09-02 10:18:06,5.0,Solar Wind,0.5054389047812498,0.4613281445368784
57,2014-09-02 10:18:06,2014-09-02 10:18:21,15.0,Magnetosheath,0.6196088141454119,0.7098513680222825
58,2014-09-02 10:18:21,2014-09-02 10:18:37,16.0,Solar Wind,0.6911103482812548,0.778998778998779
59,2014-09-02 10:18:37,2014-09-02 10:18:43,6.0,Magnetosheath,0.2607466622807536,0.28227194492254737
60,2014-09-02 10:18:43,2014-09-02 10:19:04,21.0,Solar Wind,0.691264540303548,0.7770943645281774
61,2014-09-02 10:19:04,2014-09-02 10:21:41,157.0,Magnetosheath,0.900202143112607,0.9337687506292157
62,2014-09-02 10:21:41,2014-09-02 10:21:59,18.0,Solar Wind,0.3548201949641486,0.3405315614617941
63,2014-09-02 10:21:59,2014-09-02 10:22:16,17.0,Magnetosheath,0.6608681120604497,0.6877470355731226
64,2014-09-02 10:22:16,2014-09-02 10:22:18,2.0,Solar Wind,0.17777843867015053,0.18545454545454543
65,2011-12-30 13:14:09,2011-12-30 13:14:13,4.0,Solar Wind,0.2668043778859259,0.37133550488599354
66,2011-12-30 13:14:13,2011-12-30 13:14:16,3.0,Magnetosheath,0.17371920691012988,0.1625201496395876
67,2011-12-30 13:14:16,2011-12-30 13:14:19,3.0,Solar Wind,0.2463015056448401,0.22511094325370595
68,2011-12-30 13:14:19,2011-12-30 13:21:56,457.0,Magnetosheath,0.9359658399545683,0.9658385093167702
69,2011-12-30 13:21:56,2011-12-30 13:32:01,605.0,Solar Wind,0.9138139979034987,0.9287624136182011
70,2014-10-19 22:07:45,2014-10-19 22:07:53,8.0,Magnetosheath,0.2687820808700455,0.27882960413080915
71,2014-10-19 22:07:53,2014-10-19 22:07:54,1.0,Magnetosheath,0.18500499615050714,0.18500499615050714
72,2014-10-19 22:07:54,2014-10-19 22:07:57,3.0,Magnetosheath,0.21548394439894125,0.2198142414860682
73,2014-10-19 22:07:57,2014-10-19 22:07:59,2.0,Magnetosphere,0.10435200991890003,0.043052837573385516
74,2014-10-19 22:07:59,2014-10-19 22:08:05,6.0,Magnetosheath,0.18334570937959804,0.1851179673321235
75,2014-10-19 22:08:05,2014-10-19 22:08:09,4.0,Magnetosphere,0.10292268656789605,0.046875
76,2014-10-19 22:08:09,2014-10-19 22:08:19,10.0,Magnetosheath,0.13031638211736507,0.10606060606060619
77,2014-10-19 22:08:19,2014-10-19 22:08:20,1.0,Magnetosheath,0.047797534701589206,0.047797534701589206
78,2014-10-19 22:08:20,2014-10-19 22:08:21,1.0,Magnetosphere,0.005980071729052017,0.005980071729052017
79,2014-10-19 22:08:21,2014-10-19 22:08:22,1.0,Magnetosheath,0.021665792625177316,0.021665792625177316
80,2014-10-19 22:08:22,2014-10-19 22:08:48,26.0,Magnetosheath,0.19247531714551802,0.22695035460992907
81,2014-10-19 22:08:48,2014-10-19 22:08:51,3.0,Magnetosphere,0.08296376390916116,0.07634027895837792
82,2014-10-19 22:08:51,2014-10-19 22:08:59,8.0,Magnetosheath,0.27797722630664,0.31932773109243695
83,2014-10-19 22:08:59,2014-10-19 22:09:03,4.0,Magnetosphere,0.2816677818319777,0.23943661971830965
84,2014-10-19 22:09:03,2014-10-19 22:09:06,3.0,Magnetosheath,0.13172083164839854,0.12530747065851422
85,2014-10-19 22:09:06,2014-10-19 22:09:14,8.0,Magnetosphere,0.16674355105952798,0.12570356472795496
86,2014-10-19 22:09:14,2014-10-19 22:09:54,40.0,Magnetosheath,0.3777734463432667,0.3443708609271523
